,method,auc,xmin,xmax,x_occluded_fraction,f_remaining,imputer_pf,auc_diff,auc_normalized,auc_diff_normalized,auc_baseline,model,n_superpixel,identifier_exp
1,random,0.4917920368268717,0.0,1.0,"[0.         0.04008929 0.07993151 0.11989318 0.19958353 0.23935547
 0.27979114 0.36021445 0.48030645 0.6011469  0.7610808  1.        ]","[0.79862977 0.77886699 0.76581338 0.73577749 0.71531697 0.68301847
 0.68496955 0.60715131 0.51640038 0.43299781 0.35833102 0.02712701]",ColorHistogram,0.0,1.0,0.0,0.4917920368268717,ResNet50,25,1
3,random,0.49759827912590826,0.0,1.0,"[0.         0.03955477 0.07909525 0.11886254 0.19895229 0.23935301
 0.27911252 0.35908296 0.4800857  0.59984887 0.76063849 1.        ]","[0.79862977 0.78787275 0.7653643  0.74892603 0.71283387 0.70049034
 0.69140808 0.62261395 0.53671066 0.46048285 0.33750347 0.03096014]",cv2,0.0,1.0,0.0,0.49759827912590826,ResNet50,25,3
12,random,0.5027367578797749,0.0,1.0,"[0.         0.00201949 0.0040623  0.00611321 0.01020382 0.01837957
 0.0285412  0.04497761 0.06964339 0.11085758 0.17277051 0.27222736
 0.42345597 0.66187407 1.        ]","[0.79862977 0.80075591 0.79386123 0.78471739 0.79347467 0.77966361
 0.76903819 0.72860902 0.6975251  0.60301775 0.49580091 0.50532902
 0.60632564 0.61844152 0.03096014]",ConstantValueImputer,0.0,1.0,0.0,0.5027367578797749,ResNet50,500,12
17,random,0.5216614989470372,0.0,0.8894956420068025,"[0.00000000e+00 1.61431760e-04 4.99641263e-04 1.02698501e-03
 1.89632494e-03 3.47237723e-03 6.62886639e-03 1.22759885e-02
 2.26940503e-02 4.20068692e-02 7.74845212e-02 1.42716837e-01
 2.62832762e-01 4.83832709e-01 8.89495642e-01]","[0.79862977 0.79988618 0.79548628 0.79143272 0.7847833  0.78602823
 0.76353588 0.71813644 0.69989144 0.65283998 0.58983535 0.59920448
 0.57032433 0.7255887  0.34712278]",ConstantValueImputer,0.0,1.0,0.0,0.5216614989470372,ResNet50,5000,17
5,random,0.5275724463798028,0.0,1.0,"[0.         0.00983013 0.01978854 0.02966538 0.04942748 0.06933946
 0.0994415  0.1293081  0.18944542 0.25940217 0.36990925 0.51005507
 0.71019146 1.        ]","[0.79862977 0.79304509 0.79006347 0.78325565 0.75655316 0.73480561
 0.68698241 0.66631393 0.5989932  0.49350212 0.39347416 0.34213106
 0.43134571 0.79850557]",TrainSet,0.0,1.0,0.0,0.5275724463798028,ResNet50,100,5
18,random,0.555435272581617,0.0,0.8893977200255104,"[0.00000000e+00 1.66214923e-04 5.06616709e-04 1.02439413e-03
 1.89492985e-03 3.45882494e-03 6.60614636e-03 1.22389190e-02
 2.26575122e-02 4.19714605e-02 7.74481824e-02 1.42689201e-01
 2.62780546e-01 4.83754517e-01 8.89397720e-01]","[0.79862977 0.79820818 0.79797956 0.7982688  0.79790663 0.79880045
 0.79956602 0.79883266 0.80185564 0.79923812 0.79513759 0.77533682
 0.75076457 0.64559505 0.32289411]",cv2,0.0,1.0,0.0,0.555435272581617,ResNet50,5000,18
10,random,0.5713954925014897,0.0,1.0,"[0.         0.00201836 0.00405054 0.00608365 0.01018482 0.01834071
 0.02863168 0.04507009 0.06977811 0.11091817 0.17284067 0.27207908
 0.42336329 0.66184504 1.        ]","[0.79862977 0.78963323 0.78783864 0.78123585 0.77217958 0.76094896
 0.74737058 0.69850799 0.63595444 0.52207342 0.48830918 0.45055603
 0.54097477 0.49717141 0.8072382 ]",TrainSet,0.0,1.0,0.0,0.5713954925014897,ResNet50,500,10
15,random,0.5778950432905072,0.0,0.8894644185799321,"[0.00000000e+00 1.63225446e-04 5.03427934e-04 1.02419483e-03
 1.89114318e-03 3.46739477e-03 6.62973002e-03 1.22580517e-02
 2.26759141e-02 4.19807611e-02 7.74719653e-02 1.42692854e-01
 2.62784864e-01 4.83767472e-01 8.89464419e-01]","[0.79862977 0.79767509 0.79397745 0.78705779 0.78444297 0.77090464
 0.74680514 0.71075675 0.61964073 0.58340066 0.49756076 0.50985747
 0.72462707 0.79423925 0.46852352]",TrainSet,0.0,1.0,0.0,0.5778950432905072,ResNet50,5000,15
33,random,0.5826352571425355,0.0,1.0,"[0.         0.00204002 0.00406855 0.00609767 0.0102264  0.01841412
 0.02868044 0.04504916 0.06973918 0.11101496 0.17289361 0.27213801
 0.4234189  0.66182391 1.        ]","[0.8902086  0.89006132 0.89110489 0.8907094  0.89084585 0.88933622
 0.8914466  0.8894543  0.89348165 0.88394929 0.86561755 0.80312785
 0.68929078 0.52381049 0.00491355]",cv2,0.0,1.0,0.0,0.5826352571425355,timm_resnet50,500,33
26,random,0.6113281084228784,0.0,1.0,"[0.         0.00981146 0.01973473 0.02973892 0.04962857 0.06953676
 0.09927063 0.12929947 0.1893645  0.2593938  0.37001847 0.51052429
 0.71060627 1.        ]","[0.8902086  0.8927028  0.88983521 0.88826702 0.88098639 0.87758406
 0.88231208 0.86233701 0.84690181 0.83229337 0.79015437 0.70909154
 0.48414878 0.01906999]",ColorHistogram,0.0,1.0,0.0,0.6113281084228784,timm_resnet50,100,26
23,random,0.6126366817226885,0.0,1.0,"[0.         0.03969727 0.07996472 0.11964704 0.19903566 0.239526
 0.27912893 0.35889735 0.47852121 0.5995939  0.75914667 1.        ]","[0.8902086  0.87340117 0.87079867 0.8576528  0.82590355 0.83249769
 0.83114961 0.78341943 0.64602387 0.60788667 0.4994296  0.00491355]",cv2,0.0,1.0,0.0,0.6126366817226885,timm_resnet50,25,23
0,random,0.6188725997595921,0.0,1.0,"[0.         0.04001176 0.07968624 0.11903287 0.19949597 0.23942476
 0.27949139 0.35899766 0.47940822 0.59978682 0.76082343 1.        ]","[0.79862977 0.77428992 0.75844015 0.75052778 0.6716987  0.62561519
 0.59079767 0.51886995 0.47561823 0.49555101 0.59605259 0.82124256]",TrainSet,0.0,1.0,0.0,0.6188725997595921,ResNet50,25,0
19,random,0.6201388454786932,0.0,0.8894687367134355,"[0.00000000e+00 1.67410714e-04 5.10137649e-04 1.02014243e-03
 1.88828656e-03 3.46194728e-03 6.62667411e-03 1.22678837e-02
 2.26753827e-02 4.19790338e-02 7.74787415e-02 1.42710393e-01
 2.62798416e-01 4.83803943e-01 8.89468737e-01]","[0.79858972 0.79863452 0.79834169 0.79819914 0.79807032 0.79782206
 0.79576739 0.79446927 0.79794493 0.79892539 0.79512411 0.79897651
 0.79281433 0.79084679 0.37171886]",diffusion,0.0,1.0,0.0,0.6201388454786932,ResNet50,5000,19
