,method,auc,xmin,xmax,x_occluded_fraction,f_remaining,imputer_pf,auc_diff,auc_normalized,auc_diff_normalized,auc_baseline,model,n_superpixel,identifier_exp
84,ig,0.0672505578014903,0.0,1.0,"[0.         0.00202434 0.0040528  0.00607143 0.01009048 0.01820412
 0.0283344  0.04451331 0.06889728 0.10965289 0.17102552 0.26994513
 0.42193931 0.6626975  1.        ]","[6.90528001e-01 6.61866053e-01 6.50581147e-01 6.44268253e-01
 6.17614251e-01 5.92223548e-01 5.32605863e-01 4.67565101e-01
 3.48549960e-01 2.21102704e-01 1.09357325e-01 3.26002796e-02
 3.38928232e-03 4.19863176e-05 8.07276397e-04]",ConstantValueImputer,-0.042533290511587205,0.6125724214887025,-0.38742757851129744,0.1097838483130775,ResNet50,500,12
71,ig_nt,0.06774162327128908,0.0,1.0,"[0.         0.00199624 0.00399387 0.0059842  0.00996386 0.01794683
 0.02795128 0.04402211 0.06817409 0.10869227 0.1700279  0.26911412
 0.42193612 0.66417251 1.        ]","[0.69059197 0.67370824 0.67501207 0.67375133 0.644832   0.60312083
 0.54349877 0.43599329 0.32141323 0.21274597 0.11510228 0.03627583
 0.00474788 0.00316373 0.00198315]",TrainSet,-0.027101431144243765,0.7142497011377856,-0.2857502988622143,0.09484305441553284,ResNet50,500,10
113,ig,0.07146183648721682,0.0,0.8885303066539114,"[0.00000000e+00 1.79368622e-04 5.37507972e-04 1.07441805e-03
 1.97006537e-03 3.58258929e-03 6.80106027e-03 1.25243144e-02
 2.30737803e-02 4.25364052e-02 7.82527503e-02 1.43737577e-01
 2.63892698e-01 4.84000651e-01 8.88530307e-01]","[6.90528001e-01 6.85407057e-01 6.73957849e-01 6.65592966e-01
 6.54840164e-01 6.28611931e-01 5.90560630e-01 5.51519052e-01
 4.85971069e-01 4.11722670e-01 2.87153389e-01 1.53316672e-01
 5.91072331e-02 1.10502724e-02 2.47750658e-04]",ColorHistogram,-0.025683562209708688,0.7356173060770862,-0.2643826939229138,0.09714539869692551,ResNet50,5000,16
85,ig_nt,0.07218059345717602,0.0,1.0,"[0.         0.00199624 0.00399387 0.0059842  0.00996386 0.01794683
 0.02795128 0.04402211 0.06817409 0.10869227 0.1700279  0.26911412
 0.42193612 0.66417251 1.        ]","[0.69059197 0.68094019 0.67604927 0.6727901  0.65175042 0.62007291
 0.58033513 0.47473542 0.37410611 0.24414024 0.11803594 0.04130847
 0.00239965 0.00130084 0.00080717]",ConstantValueImputer,-0.03760325485590148,0.6574791698987823,-0.34252083010121775,0.1097838483130775,ResNet50,500,12
77,ig,0.07268694391533131,0.0,1.0,"[0.         0.00202434 0.0040528  0.00607143 0.01009048 0.01820412
 0.0283344  0.04451331 0.06889728 0.10965289 0.17102552 0.26994513
 0.42193931 0.6626975  1.        ]","[6.90528001e-01 6.66286420e-01 6.53367507e-01 6.55281591e-01
 6.29127858e-01 5.98599862e-01 5.40486905e-01 4.86777914e-01
 3.79116833e-01 2.48801548e-01 1.27847226e-01 4.07515780e-02
 2.42514109e-03 1.45050248e-04 8.79862656e-04]",ColorHistogram,-0.043669676469399274,0.6246910891274905,-0.3753089108725095,0.11635662038473059,ResNet50,500,11
110,gradients,0.07610480901946468,0.0,0.8923381032100344,"[0.00000000e+00 1.79368622e-04 5.36910077e-04 1.07441805e-03
 1.97066327e-03 3.58318718e-03 6.80943080e-03 1.25438457e-02
 2.31140386e-02 4.26401068e-02 7.84570313e-02 1.44166069e-01
 2.64964193e-01 4.86811291e-01 8.92338103e-01]","[0.69059197 0.68080219 0.66812983 0.65162653 0.63974581 0.62941691
 0.61275445 0.56136528 0.50442552 0.41081346 0.28527357 0.15385332
 0.06939093 0.01717475 0.00189379]",TrainSet,0.020191361873631207,1.3611181728961925,0.3611181728961924,0.05591344714583347,ResNet50,5000,15
78,ig_nt,0.07614978505769547,0.0,1.0,"[0.         0.00199624 0.00399387 0.0059842  0.00996386 0.01794683
 0.02795128 0.04402211 0.06817409 0.10869227 0.1700279  0.26911412
 0.42193612 0.66417251 1.        ]","[0.69059197 0.67695184 0.67988219 0.67516982 0.65622395 0.62337832
 0.58278851 0.49355931 0.39567757 0.26833788 0.1403728  0.0391289
 0.00329043 0.00081099 0.00088885]",ColorHistogram,-0.04020683532703512,0.6544516745665858,-0.3455483254334142,0.11635662038473059,ResNet50,500,11
121,zennit,0.07792065439819279,0.0,0.8951866762329926,"[0.00000000e+00 1.79368622e-04 5.37840136e-04 1.07574670e-03
 1.97305485e-03 3.58690742e-03 6.81474543e-03 1.25553385e-02
 2.31372901e-02 4.26894664e-02 7.85629252e-02 1.44390545e-01
 2.65455530e-01 4.87977121e-01 8.95186676e-01]","[6.90528001e-01 6.86775773e-01 6.81953722e-01 6.76708787e-01
 6.78623329e-01 6.71022620e-01 6.53934349e-01 5.96504751e-01
 5.45131426e-01 4.56675946e-01 3.29483611e-01 1.77658227e-01
 5.99325401e-02 6.32080119e-03 4.62542235e-04]",ConstantValueImputer,-0.025553481131702235,0.7530447488075945,-0.2469552511924055,0.10347413552989503,ResNet50,5000,17
114,zennit,0.07856047015675434,0.0,0.8951866762329926,"[0.00000000e+00 1.79368622e-04 5.37840136e-04 1.07574670e-03
 1.97305485e-03 3.58690742e-03 6.81474543e-03 1.25553385e-02
 2.31372901e-02 4.26894664e-02 7.85629252e-02 1.44390545e-01
 2.65455530e-01 4.87977121e-01 8.95186676e-01]","[6.90528001e-01 6.86056778e-01 6.79429026e-01 6.70446098e-01
 6.65185275e-01 6.57412996e-01 6.41617673e-01 5.94571689e-01
 5.32291514e-01 4.52489359e-01 3.20426787e-01 1.85399820e-01
 5.81359084e-02 9.77936604e-03 6.23433954e-04]",ColorHistogram,-0.018584928540171172,0.8086895644110486,-0.19131043558895142,0.09714539869692551,ResNet50,5000,16
122,input_x_gradients,0.07905381623157509,0.0,0.8886730043579931,"[0.00000000e+00 1.79368622e-04 5.36910077e-04 1.07441805e-03
 1.96827168e-03 3.57780612e-03 6.79209184e-03 1.25144824e-02
 2.30597630e-02 4.25214578e-02 7.81932929e-02 1.43592953e-01
 2.63722829e-01 4.83958134e-01 8.88673004e-01]","[6.90528001e-01 6.76466584e-01 6.56340910e-01 6.52244482e-01
 6.45090489e-01 6.30724043e-01 5.93051759e-01 5.65518053e-01
 5.24876964e-01 4.57936763e-01 3.36487177e-01 1.63792274e-01
 7.04309546e-02 1.20798133e-02 6.37023463e-05]",ConstantValueImputer,-0.024420319298319934,0.7639959089944309,-0.23600409100556907,0.10347413552989503,ResNet50,5000,17
