,method,auc,xmin,xmax,x_occluded_fraction,f_remaining,imputer_pf,auc_diff,auc_normalized,auc_diff_normalized,auc_baseline,model,n_superpixel,identifier_exp
84,ig_nt,0.08635130687681158,0.0,1.0,"[0.         0.00197571 0.00395262 0.00594946 0.00994553 0.01797154
 0.02795759 0.04407844 0.06822026 0.10871127 0.16992188 0.26914893
 0.42197199 0.66420407 1.        ]","[0.69059197 0.68810464 0.68290248 0.67744818 0.66280434 0.62789539
 0.58785526 0.51224696 0.42469768 0.27228366 0.16890631 0.06336012
 0.01698111 0.00243213 0.00080717]",ConstantValueImputer,-0.03449972851158069,0.7145268271744208,-0.28547317282557916,0.12085103538839227,ResNet50,500,12
73,random,0.09041914285448875,0.0,1.0,"[0.         0.0020258  0.00406144 0.00609588 0.01016528 0.01843232
 0.02869479 0.04517073 0.06991178 0.11097171 0.17309238 0.2723393
 0.423391   0.66157074 1.        ]","[6.90591972e-01 6.90442446e-01 6.81678219e-01 6.75576596e-01
 6.69522648e-01 6.51319677e-01 6.18540269e-01 5.60158863e-01
 4.54498541e-01 3.13507196e-01 1.83536734e-01 6.65223047e-02
 2.49861543e-03 3.95097046e-04 1.77333028e-04]",TrainSet,0.0,1.0,0.0,0.09041914285448875,ResNet50,500,10
120,input_x_gradients,0.09426505555833944,0.0,0.8886476270195578,"[0.00000000e+00 1.79368622e-04 5.37507972e-04 1.07382015e-03
 1.96767379e-03 3.57840402e-03 6.79328763e-03 1.25091677e-02
 2.30524554e-02 4.25127551e-02 7.81925622e-02 1.43582921e-01
 2.63686224e-01 4.83854366e-01 8.88647627e-01]","[6.90591972e-01 6.76851565e-01 6.60934838e-01 6.70118682e-01
 6.52383873e-01 6.39142855e-01 6.08457929e-01 5.77082615e-01
 5.48089652e-01 4.84838265e-01 3.75442535e-01 2.22188017e-01
 1.07726429e-01 1.27007241e-02 6.17404354e-05]",ConstantValueImputer,-0.012608436752723856,0.882024658499733,-0.11797534150026703,0.1068734923110633,ResNet50,5000,17
77,ig_nt,0.09428370469401148,0.0,1.0,"[0.         0.00197571 0.00395262 0.00594946 0.00994553 0.01797154
 0.02795759 0.04407844 0.06822026 0.10871127 0.16992188 0.26914893
 0.42197199 0.66420407 1.        ]","[0.69059197 0.68787891 0.67702026 0.67699092 0.65806186 0.63474778
 0.5978193  0.54589639 0.44752364 0.31947017 0.19759741 0.07361603
 0.01614371 0.0042549  0.00088259]",ColorHistogram,-0.02357209853459212,0.7999920420645763,-0.2000079579354237,0.1178558032286036,ResNet50,500,11
85,input_x_gradients,0.09442853626653484,0.0,1.0,"[0.         0.00204965 0.00410236 0.00613753 0.0102466  0.01839053
 0.02856572 0.04487929 0.06939739 0.11027776 0.17190888 0.27089658
 0.42265552 0.66296888 1.        ]","[6.90591972e-01 6.78974031e-01 6.75475143e-01 6.68280465e-01
 6.61070095e-01 6.42376325e-01 6.08773990e-01 5.42593896e-01
 4.58980086e-01 3.55721218e-01 1.96640624e-01 7.33108860e-02
 7.30543355e-03 9.57454976e-05 8.07169274e-04]",ConstantValueImputer,-0.02642249912185743,0.7813630720089362,-0.21863692799106385,0.12085103538839227,ResNet50,500,12
113,random,0.09802618925659193,0.0,0.8894409677933672,"[0.00000000e+00 1.66812819e-04 5.13990753e-04 1.03117028e-03
 1.89991231e-03 3.46546822e-03 6.63570897e-03 1.22805060e-02
 2.27167703e-02 4.20503827e-02 7.75566672e-02 1.42766063e-01
 2.62836084e-01 4.83825136e-01 8.89440968e-01]","[6.90591972e-01 6.91018660e-01 6.86735781e-01 6.81703928e-01
 6.82927887e-01 6.62706481e-01 6.28171181e-01 5.92063124e-01
 5.43630275e-01 4.49787650e-01 3.35155939e-01 2.14267930e-01
 1.27215916e-01 2.61493266e-02 2.61118635e-04]",ColorHistogram,0.0,1.0,0.0,0.09802618925659193,ResNet50,5000,16
246,random,0.09889660885588279,0.0,0.8894496704931969,"[0.00000000e+00 1.63823342e-04 5.10801977e-04 1.03216677e-03
 1.90330038e-03 3.47556601e-03 6.62381750e-03 1.22719361e-02
 2.27038159e-02 4.20104565e-02 7.74946854e-02 1.42736036e-01
 2.62835818e-01 4.83817097e-01 8.89449670e-01]","[7.59501803e-01 7.61005182e-01 7.60077079e-01 7.53455884e-01
 7.49050944e-01 7.47063803e-01 7.42245586e-01 7.24259995e-01
 6.73047455e-01 5.73902197e-01 4.16354469e-01 2.51036118e-01
 8.34874280e-02 5.64877033e-03 2.42974200e-04]",TrainSet,0.0,1.0,0.0,0.09889660885588279,timm_resnet50,5000,35
114,input_x_gradients,0.0990805505851892,0.0,0.8886476270195578,"[0.00000000e+00 1.79368622e-04 5.37507972e-04 1.07382015e-03
 1.96767379e-03 3.57840402e-03 6.79328763e-03 1.25091677e-02
 2.30524554e-02 4.25127551e-02 7.81925622e-02 1.43582921e-01
 2.63686224e-01 4.83854366e-01 8.88647627e-01]","[6.90591972e-01 6.85234170e-01 6.66569108e-01 6.70923446e-01
 6.60105941e-01 6.50163421e-01 6.18955558e-01 5.74786067e-01
 5.46174351e-01 4.94945040e-01 3.89880796e-01 2.44770330e-01
 1.05632686e-01 1.90818412e-02 2.29290169e-04]",ColorHistogram,0.001054361328597278,1.0107559146855887,0.010755914685588737,0.09802618925659193,ResNet50,5000,16
86,ig,0.09908906400649004,0.0,1.0,"[0.         0.00200986 0.00403792 0.00609023 0.01014416 0.01823754
 0.0283908  0.04463389 0.06901985 0.1098383  0.17137443 0.27068977
 0.42299081 0.66376873 1.        ]","[0.69059197 0.6707915  0.65600283 0.64707461 0.63911337 0.61100264
 0.59084727 0.5321857  0.45027444 0.33459167 0.21464813 0.09373081
 0.02235159 0.00094957 0.00080717]",ConstantValueImputer,-0.021761971381902237,0.8199273071019756,-0.18007269289802438,0.12085103538839227,ResNet50,500,12
121,ig,0.09914122406499078,0.0,0.8885463169642855,"[0.00000000e+00 1.79368622e-04 5.36910077e-04 1.07501594e-03
 1.96946747e-03 3.57780612e-03 6.79567921e-03 1.25181362e-02
 2.30661405e-02 4.25486288e-02 7.82750717e-02 1.43738308e-01
 2.63911365e-01 4.83869513e-01 8.88546317e-01]","[6.90591972e-01 6.87127894e-01 6.80822043e-01 6.68351469e-01
 6.58697605e-01 6.35860475e-01 6.17682824e-01 5.86132781e-01
 5.34966406e-01 4.51383213e-01 3.31847884e-01 2.26035050e-01
 1.17486367e-01 3.17226840e-02 3.57447803e-04]",ConstantValueImputer,-0.007732268246072524,0.9276502706249443,-0.07234972937505568,0.1068734923110633,ResNet50,5000,17
